Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02246088


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2246088;1;01/11/1993;1;15,1;17,6;24;22;1;1;1;0;0;0,1;0,0;0,1;0,1;0,1;0,2;0,1;0,2;0,2;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,0;15,1;0,2;0,1;0,1;0,1;0,1;0,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2246088;1;01/10/1993;1;23,8;117,4;5;20;1;1;1;0;0;0,2;10,1;20,0;10,0;23,8;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;10,0;15,1;10,0;0,2;0,2;0,2;0,2;16,4;0,2;0,1;0,1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2246088;1;01/09/1993;1;29,0;187,6;21;28;1;1;1;0;0;0,1;0,1;0,1;0,0;0,0;0,1;0,1;0,1;0,1;10,0;0,2;0,1;0,1;24,8;16,9;0,2;0,1;0,1;0,1;0,1;29,0;15,5;12,0;10,5;27,3;3,5;6,2;2,8;10,1;17,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2246088;1;01/08/1993;1;15,1;27,6;26;24;1;1;1;0;0;0,1;0,1;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,2;0,1;0,3;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,0;0,0;0,1;10,0;15,1;0,0;0,0;0,1;0,1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2246088;1;01/07/1993;1;10,0;12,9;14;28;1;1;1;0;0;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;10,0;0,1;0,2;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2246088;1;01/06/1993;1;36,3;149,4;1;30;1;1;1;0;0;36,3;0,2;0,2;0,1;10,0;15,9;0,2;0,1;21,0;18,5;0,2;0,1;0,1;0,1;0,1;0,1;0,2;0,2;26,6;18,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2246088;1;01/05/1993;1;21,0;79,7;6;28;1;1;1;0;0;0,1;0,1;0,1;0,1;10,1;21,0;0,1;0,1;0,1;0,1;0,1;0,1;0,0;0,0;10,0;0,1;0,2;0,2;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,1;0,1;0,1;0,2;20,1;15,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2246088;1;01/04/1993;1;20,0;64,3;7;30;1;1;1;0;0;0,2;0,2;0,1;0,1;0,2;10,0;20,0;0,2;0,1;10,0;0,2;11,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,2;0,2;10,0;0,1;0,1;0,1;0,1;0,1;0,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2246088;1;01/03/1993;1;32,0;178,8;25;27;1;1;1;0;0;26,9;0,1;0,1;20,7;0,2;0,2;0,1;0,1;0,1;0,0;0,0;0,0;0,1;0,1;0,1;0,0;0,2;28,5;0,2;0,1;0,2;25,3;11,9;10,0;32,0;10,0;11,0;0,2;0,2;0,1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2246088;1;01/02/1993;1;46,3;335,3;5;28;1;1;1;0;0;11,5;0,1;0,1;11,8;46,3;10,0;16,4;11,1;0,2;0,1;0,1;0,1;0,2;0,2;14,4;23,8;15,9;10,0;20,0;11,3;29,6;17,0;10,0;11,4;0,2;15,3;18,5;29,7;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
